CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
19,Nuevo León,19046,San Nicolás de los Garza,M19.01,Monterrey,477596,475823,474221,473337,473285,474163,476051,479050,483249,488759,495687,504127,514203,526038,539757,555515
19,Nuevo León,19047,Hidalgo,M19.01,Monterrey,15902,15896,15876,15869,15875,15902,15960,16036,16142,16279,16459,16674,16932,17230,17584,17985
19,Nuevo León,19048,Santa Catarina,M19.01,Monterrey,303504,307735,311448,315057,318594,322051,325468,328847,332214,335570,338929,342307,345721,349185,352711,356307
19,Nuevo León,19049,Santiago,M19.01,Monterrey,44504,44997,45457,45931,46435,46955,47500,48083,48704,49352,50047,50783,51573,52403,53295,54246
20,Oaxaca,20045,Magdalena Apasco,M20.01,Oaxaca,8397,8611,8802,8987,9148,9300,9430,9540,9631,9692,9740,9746,9738,9698,9623,9517
20,Oaxaca,20063,Nazareno Etla,M20.01,Oaxaca,4093,4122,4150,4179,4208,4234,4264,4288,4316,4341,4368,4395,4422,4447,4473,4503
20,Oaxaca,20067,Oaxaca de Juárez,M20.01,Oaxaca,259781,259414,259097,258792,258636,258636,258773,259162,259855,260823,262144,263822,265882,268421,271354,274911
20,Oaxaca,20083,San Agustín de las Juntas,M20.01,Oaxaca,9162,9396,9622,9818,9999,10151,10287,10392,10476,10527,10550,10541,10503,10424,10310,10164
20,Oaxaca,20087,San Agustín Yatareni,M20.01,Oaxaca,4340,4400,4458,4515,4565,4610,4651,4689,4720,4746,4764,4780,4783,4783,4774,4756
20,Oaxaca,20091,San Andrés Huayápam,M20.01,Oaxaca,5400,5461,5516,5567,5615,5655,5691,5724,5753,5779,5796,5815,5829,5834,5844,5843
20,Oaxaca,20107,San Antonio de la Cal,M20.01,Oaxaca,23720,24180,24598,24970,25306,25602,25849,26050,26201,26305,26359,26348,26288,26167,25985,25732
20,Oaxaca,20115,San Bartolo Coyotepec,M20.01,Oaxaca,9408,9595,9764,9920,10063,10186,10297,10386,10466,10519,10557,10578,10580,10556,10511,10441
20,Oaxaca,20157,San Jacinto Amilpas,M20.01,Oaxaca,16604,17016,17394,17728,18034,18293,18514,18686,18815,18904,18943,18924,18857,18729,18550,18307
20,Oaxaca,20174,Ánimas Trujano,M20.01,Oaxaca,3976,4029,4083,4125,4169,4207,4246,4279,4306,4330,4348,4366,4376,4381,4383,4376
20,Oaxaca,20227,San Lorenzo Cacaotepec,M20.01,Oaxaca,15349,15651,15930,16187,16421,16630,16819,16975,17106,17208,17277,17314,17317,17284,17214,17097
20,Oaxaca,20293,San Pablo Etla,M20.01,Oaxaca,17416,17854,18243,18601,18919,19200,19440,19630,19776,19875,19920,19915,19849,19728,19549,19299
20,Oaxaca,20338,Villa de Etla,M20.01,Oaxaca,10607,10797,10973,11136,11291,11426,11550,11661,11753,11830,11884,11921,11936,11927,11894,11839
20,Oaxaca,20350,San Sebastián Tutla,M20.01,Oaxaca,19332,19350,19349,19329,19306,19272,19241,19217,19198,19192,19199,19227,19280,19351,19458,19598
20,Oaxaca,20375,Santa Cruz Amilpas,M20.01,Oaxaca,12372,12680,12967,13233,13469,13683,13858,14009,14128,14208,14252,14257,14223,14133,14008,13835
20,Oaxaca,20385,Santa Cruz Xoxocotlán,M20.01,Oaxaca,90508,92542,94407,96098,97622,98970,100124,101085,101831,102362,102656,102712,102512,102040,101291,100244
20,Oaxaca,20390,Santa Lucía del Camino,M20.01,Oaxaca,51380,51578,51739,51876,51999,52119,52229,52353,52482,52619,52782,52963,53171,53419,53696,54020
20,Oaxaca,20399,Santa María Atzompa,M20.01,Oaxaca,33246,34205,35075,35871,36581,37206,37724,38148,38463,38665,38741,38699,38519,38195,37728,37105
20,Oaxaca,20403,Santa María Coyotepec,M20.01,Oaxaca,3005,3066,3123,3171,3217,3255,3289,3315,3337,3355,3364,3367,3359,3347,3329,3299
20,Oaxaca,20409,Santa María del Tule,M20.01,Oaxaca,9119,9185,9244,9300,9356,9409,9462,9518,9569,9621,9669,9730,9776,9833,9888,9942
20,Oaxaca,20519,Santo Domingo Tomaltepec,M20.01,Oaxaca,2978,3001,3024,3041,3059,3079,3097,3118,3141,3162,3182,3204,3223,3248,3274,3294
20,Oaxaca,20539,Soledad Etla,M20.01,Oaxaca,5508,5605,5697,5781,5859,5930,6000,6052,6103,6139,6170,6192,6203,6197,6184,6162
20,Oaxaca,20553,Tlalixtac de Cabrera,M20.01,Oaxaca,10242,10401,10545,10679,10800,10912,11013,11097,11172,11231,11278,11306,11321,11320,11301,11263
20,Oaxaca,20565,Villa de Zaachila,M20.01,Oaxaca,41773,42980,44095,45115,46036,46846,47539,48108,48537,48824,48959,48936,48735,48364,47795,47034
20,Oaxaca,20079,Salina Cruz,M20.02,Tehuantepec,89719,90336,90918,91480,92037,92577,93104,93629,94143,94655,95161,95666,96170,96667,97167,97673
20,Oaxaca,20124,San Blas Atempa,M20.02,Tehuantepec,18699,18760,18809,18852,18894,18929,18971,19004,19046,19092,19141,19202,19268,19347,19436,19542
20,Oaxaca,20308,San Pedro Huilotepec,M20.02,Tehuantepec,3134,3165,3192,3221,3246,3271,3294,3314,3333,3352,3366,3384,3395,3405,3416,3419
20,Oaxaca,20421,Santa María Mixtequilla,M20.02,Tehuantepec,4715,4738,4764,4783,4811,4837,4861,4886,4913,4944,4973,5002,5036,5072,5110,5143
20,Oaxaca,20515,Santo Domingo Tehuantepec,M20.02,Tehuantepec,65727,66243,66729,67193,67634,68052,68457,68836,69201,69547,69873,70181,70469,70736,70986,71209
21,Puebla,21001,Acajete,M21.01,Puebla-Tlaxcala,64875,65817,66698,67539,68329,69076,69772,70412,70990,71507,71961,72345,72656,72895,73051,73128
21,Puebla,21015,Amozoc,M21.01,Puebla-Tlaxcala,113405,116346,119067,121585,123885,125961,127789,129358,130643,131633,132311,132667,132680,132344,131620,130511
21,Puebla,21034,Coronango,M21.01,Puebla-Tlaxcala,39627,40427,41175,41881,42543,43151,43715,44222,44668,45051,45364,45608,45772,45861,45865,45781
21,Puebla,21041,Cuautlancingo,M21.01,Puebla-Tlaxcala,109067,113115,116922,120488,123785,126781,129434,131720,133606,135057,136035,136511,136457,135846,134629,132787
21,Puebla,21048,Chiautzingo,M21.01,Puebla-Tlaxcala,20457,20672,20881,21083,21288,21492,21692,21893,22091,22293,22485,22676,22866,23049,23235,23411
21,Puebla,21060,Domingo Arenas,M21.01,Puebla-Tlaxcala,7368,7493,7614,7729,7835,7936,8027,8118,8192,8262,8317,8365,8407,8431,8447,8445
21,Puebla,21074,Huejotzingo,M21.01,Puebla-Tlaxcala,72597,73903,75126,76286,77381,78403,79355,80220,81003,81695,82284,82776,83158,83429,83576,83600
21,Puebla,21090,Juan C. Bonilla,M21.01,Puebla-Tlaxcala,20603,21039,21451,21843,22211,22555,22870,23158,23416,23637,23823,23968,24068,24124,24132,24091
21,Puebla,21106,Ocoyucan,M21.01,Puebla-Tlaxcala,28200,28595,28972,29322,29662,29976,30269,30539,30790,31010,31202,31370,31506,31612,31683,31720
21,Puebla,21114,Puebla,M21.01,Puebla-Tlaxcala,1634238,1647816,1660592,1673165,1685804,1698509,1711529,1724831,1738577,1752924,1767970,1783758,1800423,1818033,1836713,1856559
21,Puebla,21119,San Andrés Cholula,M21.01,Puebla-Tlaxcala,133213,138021,142527,146750,150647,154192,157342,160069,162336,164104,165346,166018,166087,165528,164281,162320
21,Puebla,21122,San Felipe Teotlalcingo,M21.01,Puebla-Tlaxcala,10384,10518,10645,10776,10902,11025,11148,11263,11378,11492,11594,11696,11791,11881,11960,12036
21,Puebla,21125,San Gregorio Atzompa,M21.01,Puebla-Tlaxcala,8947,9094,9229,9362,9487,9608,9729,9841,9942,10039,10132,10216,10291,10356,10415,10462
21,Puebla,21132,San Martín Texmelucan,M21.01,Puebla-Tlaxcala,154037,155886,157620,159291,160890,162438,163922,165345,166710,168020,169268,170458,171594,172671,173688,174645
21,Puebla,21136,San Miguel Xoxtla,M21.01,Puebla-Tlaxcala,12545,12717,12878,13028,13173,13310,13437,13559,13675,13781,13875,13965,14044,14115,14179,14231
21,Puebla,21140,San Pedro Cholula,M21.01,Puebla-Tlaxcala,131843,133560,135177,136723,138209,139635,141002,142309,143556,144742,145869,146936,147947,148894,149780,150599
21,Puebla,21143,San Salvador el Verde,M21.01,Puebla-Tlaxcala,30983,31537,32054,32543,33008,33443,33845,34213,34544,34837,35089,35297,35458,35570,35630,35636
21,Puebla,21163,Tepatlaxco de Hidalgo,M21.01,Puebla-Tlaxcala,17555,17753,17941,18123,18298,18470,18632,18788,18940,19081,19217,19341,19459,19571,19671,19766
21,Puebla,21181,Tlaltenango,M21.01,Puebla-Tlaxcala,7007,7114,7216,7310,7404,7485,7569,7645,7713,7774,7828,7878,7913,7946,7970,7984
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,M21.01,Puebla-Tlaxcala,39033,39639,40184,40734,41284,41831,42376,42917,43451,43984,44506,45020,45528,46022,46502,46972
29,Tlaxcala,29017,Mazatecochco de José María Morelos,M21.01,Puebla-Tlaxcala,10912,11074,11213,11346,11477,11601,11723,11838,11953,12061,12167,12273,12371,12468,12559,12645
29,Tlaxcala,29019,Tepetitla de Lardizábal,M21.01,Puebla-Tlaxcala,21031,21427,21772,22108,22426,22733,23019,23292,23542,23777,23992,24191,24367,24517,24652,24756
29,Tlaxcala,29022,Acuamanala de Miguel Hidalgo,M21.01,Puebla-Tlaxcala,6195,6352,6505,6652,6791,6934,7066,7194,7318,7427,7530,7617,7692,7753,7797,7820
29,Tlaxcala,29023,Natívitas,M21.01,Puebla-Tlaxcala,25734,26066,26369,26672,26982,27294,27615,27934,28261,28585,28913,29248,29581,29916,30255,30594
29,Tlaxcala,29025,San Pablo del Monte,M21.01,Puebla-Tlaxcala,77676,78850,79853,80804,81697,82542,83331,84067,84757,85392,85976,86515,86997,87429,87813,88147
29,Tlaxcala,29027,Tenancingo,M21.01,Puebla-Tlaxcala,13032,13227,13409,13588,13761,13938,14116,14288,14462,14637,14804,14972,15135,15294,15452,15607
29,Tlaxcala,29028,Teolocholco,M21.01,Puebla-Tlaxcala,24333,24736,25089,25432,25753,26065,26359,26642,26906,27157,27392,27606,27803,27984,28146,28288
29,Tlaxcala,29029,Tepeyanco,M21.01,Puebla-Tlaxcala,12400,12812,13210,13612,14006,14396,14771,15130,15468,15781,16064,16317,16532,16702,16824,16896
29,Tlaxcala,29032,Tetlatlahuca,M21.01,Puebla-Tlaxcala,13704,14024,14321,14629,14936,15237,15536,15830,16119,16388,16648,16889,17119,17322,17501,17657
29,Tlaxcala,29041,Papalotla de Xicohténcatl,M21.01,Puebla-Tlaxcala,30540,31012,31429,31829,32216,32591,32951,33301,33636,33959,34271,34570,34858,35134,35394,35648
29,Tlaxcala,29042,Xicohtzinco,M21.01,Puebla-Tlaxcala,13747,13976,14177,14376,14572,14770,14957,15143,15325,15505,15681,15851,16016,16175,16335,16485
29,Tlaxcala,29044,Zacatelco,M21.01,Puebla-Tlaxcala,43181,44038,44829,45615,46387,47148,47889,48612,49306,49971,50606,51196,51752,52261,52717,53112
29,Tlaxcala,29051,San Jerónimo Zacualpan,M21.01,Puebla-Tlaxcala,3865,3919,3963,4011,4057,4107,4159,4213,4268,4323,4381,4441,4501,4563,4630,4693
29,Tlaxcala,29053,San Juan Huactzinco,M21.01,Puebla-Tlaxcala,7646,7740,7818,7897,7975,8053,8132,8214,8294,8378,8469,8557,8651,8753,8855,8961
29,Tlaxcala,29054,San Lorenzo Axocomanitla,M21.01,Puebla-Tlaxcala,5711,5777,5844,5904,5965,6031,6094,6163,6231,6299,6374,6447,6525,6608,6691,6779
29,Tlaxcala,29056,Santa Ana Nopalucan,M21.01,Puebla-Tlaxcala,7784,7907,8019,8126,8234,8337,8438,8536,8633,8734,8825,8919,9009,9100,9186,9273
29,Tlaxcala,29057,Santa Apolonia Teacalco,M21.01,Puebla-Tlaxcala,4679,4740,4787,4841,4890,4944,4996,5049,5108,5170,5231,5292,5359,5426,5494,5566
29,Tlaxcala,29058,Santa Catarina Ayometla,M21.01,Puebla-Tlaxcala,8922,9047,9157,9276,9387,9500,9615,9731,9850,9968,10088,10210,10331,10454,10581,10707
29,Tlaxcala,29059,Santa Cruz Quilehtla,M21.01,Puebla-Tlaxcala,7071,7209,7331,7447,7560,7664,7768,7857,7944,8028,8099,8165,8222,8270,8310,8340
21,Puebla,21149,Santiago Miahuatlán,M21.02,Tehuacán,24596,25202,25761,26276,26745,27176,27553,27879,28148,28357,28503,28587,28599,28540,28408,28192
21,Puebla,21156,Tehuacán,M21.02,Tehuacán,316048,321318,326202,330790,335085,339077,342751,346105,349111,351767,354054,355964,357479,358590,359287,359550
21,Puebla,21054,Chignautla,M21.03,Teziutlán,33471,34128,34732,35285,35792,36244,36641,36982,37261,37475,37626,37709,37720,37655,37515,37296
21,Puebla,21174,Teziutlán,M21.03,Teziutlán,100343,101344,102276,103174,104051,104906,105747,106571,107387,108194,108997,109800,110604,111411,112228,113054
11,Guanajuato,11004,Apaseo el Alto,M22.01,Querétaro,69312,69959,70546,71115,71665,72209,72731,73246,73753,74248,74736,75216,75695,76164,76631,77100
22,Querétaro,22006,Corregidora,M22.01,Querétaro,176002,183006,189701,196134,202268,208076,213526,218580,223210,227374,231044,234186,236759,238728,240062,240721
22,Querétaro,22008,Huimilpan,M22.01,Querétaro,39214,39855,40468,41083,41696,42305,42916,43531,44144,44759,45378,45999,46625,47255,47890,48529
22,Querétaro,22011,El Marqués,M22.01,Querétaro,151384,157385,163087,168559,173771,178672,183234,187408,191164,194456,197253,199521,201219,202315,202771,202554
22,Querétaro,22014,Querétaro,M22.01,Querétaro,898319,914675,930411,945974,961470,976939,992423,1007923,1023514,1039236,1055096,1071145,1087435,1104025,1120919,1138178
23,Quintana Roo,23003,Isla Mujeres,M23.01,Cancún,19215,19980,20757,21535,22307,23070,23821,24553,25269,25961,26623,27251,27840,28395,28908,29372
23,Quintana Roo,23005,Benito Juárez,M23.01,Cancún,744095,764955,785764,805997,825647,844698,863123,880920,898035,914498,930256,945302,959611,973183,986005,998044
23,Quintana Roo,23004,Othón P. Blanco,M23.02,Chetumal,247606,250360,253513,257030,260945,265298,270144,275517,281462,288018,295210,303094,311696,321055,331199,342175
24,San Luis Potosí,24011,Ciudad Fernández,M24.01,Rioverde,46173,46459,46733,47000,47261,47527,47791,48054,48315,48584,48851,49123,49400,49688,49976,50272
24,San Luis Potosí,24024,Rioverde,M24.01,Rioverde,96434,96902,97378,97883,98418,98982,99583,100216,100884,101588,102331,103113,103936,104799,105709,106665
24,San Luis Potosí,24028,San Luis Potosí,M24.02,San Luis Potosí,838689,845899,852611,858929,864918,870578,875955,881143,886040,890761,895325,899729,904007,908126,912185,916131
24,San Luis Potosí,24035,Soledad de Graciano Sánchez,M24.02,San Luis Potosí,299974,306702,313010,318842,324165,328949,333151,336726,339636,341840,343301,343963,343789,342745,340783,337862
24,San Luis Potosí,24055,Zaragoza,M24.02,San Luis Potosí,26135,26362,26580,26789,26982,27163,27333,27486,27630,27755,27862,27958,28032,28088,28126,28142
25,Sinaloa,25006,Culiacán,M25.01,Culiacán,919119,929980,938906,947345,955340,962871,969979,976656,982894,988705,994104,999066,1003595,1007727,1011414,1014676
25,Sinaloa,25012,Mazatlán,M25.02,Mazatlán,498223,506602,513921,520899,527505,533733,539543,544920,549835,554264,558174,561538,564342,566550,568142,569087
26,Sonora,26025,Empalme,M26.01,Guaymas,57868,58352,58892,59450,60028,60631,61256,61915,62601,63323,64078,64875,65709,66582,67502,68466
26,Sonora,26029,Guaymas,M26.01,Guaymas,160390,162379,164508,166659,168830,171035,173258,175499,177763,180041,182331,184633,186938,189247,191561,193870
26,Sonora,26030,Hermosillo,M26.02,Hermosillo,874942,889980,904996,919332,933033,946054,958425,970061,980977,991127,1000482,1009068,1016795,1023688,1029686,1034738
26,Sonora,26043,Nogales,M26.03,Nogales,236163,239992,243718,247200,250457,253486,256294,258871,261225,263347,265232,266880,268287,269445,270334,270956
27,Tabasco,27004,Centro,M27.01,Villahermosa,693907,703825,713132,722215,731028,739611,747937,756031,763861,771483,778841,785995,792923,799644,806151,812441
27,Tabasco,27013,Nacajuca,M27.01,Villahermosa,133785,137298,140599,143696,146592,149256,151679,153828,155708,157282,158534,159446,160001,160177,159958,159315
28,Tamaulipas,28041,Victoria,M28.01,Ciudad Victoria,348362,352312,356210,359959,363577,367051,370384,373573,376608,379489,382207,384756,387128,389319,391325,393135
28,Tamaulipas,28022,Matamoros,M28.02,Matamoros,526890,531083,535140,538972,542624,546115,549472,552710,555852,558909,561911,564866,567796,570700,573588,576462
28,Tamaulipas,28027,Nuevo Laredo,M28.03,Nuevo Laredo,406592,409874,413020,415949,418701,421295,423752,426092,428330,430476,432553,434565,436536,438455,440345,442200
28,Tamaulipas,28032,Reynosa,M28.04,Reynosa,641932,652234,661969,670996,679229,686670,693288,699043,703931,707903,710912,712903,713810,713634,712279,709706
28,Tamaulipas,28033,Río Bravo,M28.04,Reynosa,127012,128271,129532,130774,131999,133206,134396,135565,136703,137815,138895,139938,140941,141899,142810,143660
28,Tamaulipas,28003,Altamira,M28.05,Tampico,232496,237788,242802,247457,251734,255602,259037,262007,264477,266424,267813,268608,268779,268294,267098,265165
28,Tamaulipas,28009,Ciudad Madero,M28.05,Tampico,215270,216748,218326,219954,221645,223413,225259,227198,229226,231362,233601,235965,238457,241084,243858,246793
28,Tamaulipas,28038,Tampico,M28.05,Tampico,325847,327145,328695,330427,332364,334535,336957,339653,342624,345918,349534,353503,357838,362570,367714,373304
30,Veracruz de Ignacio de la Llave,30123,Pánuco,M28.05,Tampico,103157,103848,104380,104904,105414,105926,106431,106946,107462,107986,108517,109059,109612,110177,110759,111355
30,Veracruz de Ignacio de la Llave,30133,Pueblo Viejo,M28.05,Tampico,59234,59697,60049,60380,60690,60978,61252,61509,61752,61984,62204,62419,62617,62813,63003,63193
29,Tlaxcala,29001,Amaxac de Guerrero,M29.01,Tlaxcala-Apizaco,11017,11246,11452,11648,11840,12018,12192,12355,12512,12654,12786,12907,13016,13112,13193,13261
29,Tlaxcala,29002,Apetatitlán de Antonio Carvajal,M29.01,Tlaxcala-Apizaco,15329,15542,15726,15910,16090,16266,16445,16617,16795,16966,17139,17312,17485,17659,17833,18013
29,Tlaxcala,29005,Apizaco,M29.01,Tlaxcala-Apizaco,82744,83299,83741,84191,84667,85176,85720,86320,86973,87693,88488,89370,90345,91421,92612,93923
29,Tlaxcala,29009,Cuaxomulco,M29.01,Tlaxcala-Apizaco,5419,5482,5544,5600,5659,5720,5776,5836,5894,5949,6010,6070,6134,6200,6259,6324
29,Tlaxcala,29010,Chiautempan,M29.01,Tlaxcala-Apizaco,72604,73646,74584,75528,76483,77435,78399,79362,80322,81280,82234,83188,84133,85069,86001,86917
29,Tlaxcala,29018,Contla de Juan Cuamatzi,M29.01,Tlaxcala-Apizaco,39014,39535,39988,40426,40847,41267,41674,42074,42471,42863,43252,43634,44018,44398,44777,45163
29,Tlaxcala,29024,Panotla,M29.01,Tlaxcala-Apizaco,27699,27991,28242,28491,28754,29017,29296,29582,29882,30190,30513,30857,31215,31594,31991,32412
29,Tlaxcala,29026,Santa Cruz Tlaxcala,M29.01,Tlaxcala-Apizaco,20147,20583,20980,21357,21719,22062,22382,22677,22957,23210,23439,23643,23810,23954,24063,24142
29,Tlaxcala,29031,Tetla de la Solidaridad,M29.01,Tlaxcala-Apizaco,32357,32948,33469,33960,34429,34866,35278,35661,36017,36343,36638,36904,37136,37331,37502,37629
29,Tlaxcala,29033,Tlaxcala,M29.01,Tlaxcala-Apizaco,98433,99594,100589,101541,102503,103435,104385,105309,106276,107242,108233,109260,110330,111456,112606,113864
29,Tlaxcala,29035,Tocatlán,M29.01,Tlaxcala-Apizaco,6015,6081,6140,6194,6250,6306,6362,6418,6472,6529,6585,6645,6705,6765,6828,6891
29,Tlaxcala,29036,Totolac,M29.01,Tlaxcala-Apizaco,22692,23022,23311,23598,23885,24161,24445,24714,24992,25264,25534,25799,26066,26329,26592,26851
29,Tlaxcala,29038,Tzompantepec,M29.01,Tlaxcala-Apizaco,16482,16956,17387,17801,18193,18563,18910,19222,19507,19759,19970,20139,20271,20356,20384,20366
29,Tlaxcala,29039,Xaloztoc,M29.01,Tlaxcala-Apizaco,24121,24508,24848,25174,25487,25784,26064,26336,26590,26829,27050,27258,27451,27623,27784,27924
29,Tlaxcala,29043,Yauhquemehcan,M29.01,Tlaxcala-Apizaco,37910,38824,39639,40399,41114,41773,42376,42923,43410,43833,44195,44486,44708,44854,44928,44915
29,Tlaxcala,29048,La Magdalena Tlaltelulco,M29.01,Tlaxcala-Apizaco,18815,19086,19323,19549,19761,19967,20166,20361,20544,20722,20895,21061,21225,21381,21535,21682
29,Tlaxcala,29049,San Damián Texóloc,M29.01,Tlaxcala-Apizaco,5647,5729,5802,5874,5948,6022,6099,6175,6252,6328,6414,6493,6579,6663,6752,6842
29,Tlaxcala,29050,San Francisco Tetlanohcan,M29.01,Tlaxcala-Apizaco,11171,11246,11305,11367,11429,11502,11579,11671,11771,11879,12001,12144,12298,12475,12670,12884
29,Tlaxcala,29060,Santa Isabel Xiloxoxtla,M29.01,Tlaxcala-Apizaco,5004,5087,5164,5237,5302,5367,5434,5493,5549,5602,5654,5703,5749,5794,5832,5865
30,Veracruz de Ignacio de la Llave,30003,Acayucan,M30.01,Acayucan,89283,89809,90179,90533,90869,91195,91514,91831,92146,92463,92790,93128,93483,93852,94239,94657
30,Veracruz de Ignacio de la Llave,30116,Oluta,M30.01,Acayucan,16508,16702,16868,17022,17160,17291,17412,17517,17609,17690,17758,17813,17851,17876,17884,17875
30,Veracruz de Ignacio de la Llave,30145,Soconusco,M30.01,Acayucan,15989,16263,16498,16715,16910,17083,17237,17366,17473,17551,17606,17630,17627,17590,17519,17415
30,Veracruz de Ignacio de la Llave,30039,Coatzacoalcos,M30.02,Coatzacoalcos,327016,330163,332655,334969,337117,339108,340936,342618,344163,345571,346846,348001,349029,349939,350731,351407
30,Veracruz de Ignacio de la Llave,30082,Ixhuatlán del Sureste,M30.02,Coatzacoalcos,16022,16158,16258,16353,16441,16524,16595,16659,16723,16775,16826,16867,16911,16938,16964,16986
30,Veracruz de Ignacio de la Llave,30206,Nanchital de Lázaro Cárdenas del Río,M30.02,Coatzacoalcos,30274,30508,30690,30871,31043,31215,31382,31545,31703,31858,32010,32161,32309,32449,32592,32727
30,Veracruz de Ignacio de la Llave,30014,Amatlán de los Reyes,M30.03,Córdoba,45811,46354,46811,47240,47639,48007,48354,48667,48947,49196,49414,49594,49740,49847,49922,49948
30,Veracruz de Ignacio de la Llave,30044,Córdoba,M30.03,Córdoba,219288,221679,223628,225445,227134,228703,230144,231461,232658,233734,234689,235521,236233,236831,237305,237666
30,Veracruz de Ignacio de la Llave,30068,Fortín,M30.03,Córdoba,66088,67179,68103,68954,69728,70428,71042,71575,72024,72386,72653,72825,72902,72877,72746,72506
30,Veracruz de Ignacio de la Llave,30196,Yanga,M30.03,Córdoba,18327,18477,18604,18728,18856,18981,19109,19232,19361,19492,19618,19744,19870,19997,20122,20248
30,Veracruz de Ignacio de la Llave,30048,Cosoleacaque,M30.04,Minatitlán,139209,141059,142531,143815,144911,145830,146568,147137,147542,147781,147868,147790,147569,147193,146662,145989
30,Veracruz de Ignacio de la Llave,30059,Chinameca,M30.04,Minatitlán,16437,16596,16725,16847,16965,17075,17177,17275,17371,17452,17532,17602,17667,17724,17775,17818
30,Veracruz de Ignacio de la Llave,30089,Jáltipan,M30.04,Minatitlán,42478,42794,43048,43307,43564,43828,44089,44357,44629,44899,45169,45450,45725,46008,46293,46580
30,Veracruz de Ignacio de la Llave,30108,Minatitlán,M30.04,Minatitlán,162527,162824,163009,163324,163773,164357,165064,165911,166891,167998,169239,170615,172125,173772,175557,177482
30,Veracruz de Ignacio de la Llave,30120,Oteapan,M30.04,Minatitlán,16112,16355,16564,16754,16925,17084,17217,17334,17427,17499,17548,17577,17574,17551,17493,17415
30,Veracruz de Ignacio de la Llave,30199,Zaragoza,M30.04,Minatitlán,11454,11573,11670,11755,11827,11884,11932,11970,11994,12006,12010,11998,11981,11949,11905,11850
30,Veracruz de Ignacio de la Llave,30022,Atzacan,M30.05,Orizaba,21459,21713,21916,22100,22268,22414,22539,22642,22726,22784,22822,22835,22829,22793,22740,22661
30,Veracruz de Ignacio de la Llave,30030,Camerino Z. Mendoza,M30.05,Orizaba,43954,44198,44368,44537,44703,44880,45049,45234,45415,45618,45824,46047,46287,46551,46830,47139
30,Veracruz de Ignacio de la Llave,30074,Huiloapan de Cuauhtémoc,M30.05,Orizaba,7325,7405,7471,7531,7588,7636,7682,7727,7762,7798,7829,7852,7872,7889,7903,7912
30,Veracruz de Ignacio de la Llave,30081,Ixhuatlancillo,M30.05,Orizaba,24483,25197,25826,26400,26909,27351,27721,28013,28233,28366,28411,28362,28216,27969,27626,27163
30,Veracruz de Ignacio de la Llave,30085,Ixtaczoquitlán,M30.05,Orizaba,70287,70914,71394,71824,72210,72556,72856,73122,73348,73546,73712,73848,73961,74048,74115,74165
30,Veracruz de Ignacio de la Llave,30099,Maltrata,M30.05,Orizaba,18026,18240,18417,18571,18717,18845,18954,19051,19129,19193,19235,19262,19264,19253,19219,19163
30,Veracruz de Ignacio de la Llave,30101,Mariano Escobedo,M30.05,Orizaba,37030,37453,37776,38060,38302,38503,38665,38785,38869,38914,38921,38890,38822,38718,38579,38399
30,Veracruz de Ignacio de la Llave,30115,Nogales,M30.05,Orizaba,38065,38490,38839,39167,39481,39768,40043,40296,40529,40737,40922,41088,41228,41347,41441,41509
30,Veracruz de Ignacio de la Llave,30118,Orizaba,M30.05,Orizaba,130966,131762,132376,133022,133701,134420,135192,136007,136882,137818,138819,139889,141040,142271,143590,145009
30,Veracruz de Ignacio de la Llave,30135,Rafael Delgado,M30.05,Orizaba,22623,23092,23488,23848,24166,24439,24667,24843,24966,25038,25047,25007,24899,24734,24502,24200
30,Veracruz de Ignacio de la Llave,30138,Río Blanco,M30.05,Orizaba,43696,43908,44058,44216,44385,44568,44767,44981,45218,45472,45754,46057,46389,46756,47157,47597
30,Veracruz de Ignacio de la Llave,30140,San Andrés Tenejapan,M30.05,Orizaba,2930,2974,3011,3046,3070,3097,3116,3129,3138,3142,3147,3140,3130,3116,3096,3067
30,Veracruz de Ignacio de la Llave,30185,Tlilapan,M30.05,Orizaba,5299,5374,5436,5491,5542,5584,5617,5644,5666,5675,5676,5676,5664,5643,5612,5573
30,Veracruz de Ignacio de la Llave,30033,Cazones de Herrera,M30.06,Poza Rica,24612,24691,24747,24805,24880,24958,25047,25150,25264,25392,25534,25690,25861,26049,26253,26475
30,Veracruz de Ignacio de la Llave,30040,Coatzintla,M30.06,Poza Rica,55473,56540,57475,58343,59142,59863,60510,61064,61531,61901,62171,62338,62388,62324,62134,61823
30,Veracruz de Ignacio de la Llave,30124,Papantla,M30.06,Poza Rica,166826,166801,166597,166465,166423,166496,166691,167023,167511,168168,169005,170041,171290,172763,174477,176447
30,Veracruz de Ignacio de la Llave,30131,Poza Rica de Hidalgo,M30.06,Poza Rica,207202,209764,211925,213981,215932,217773,219503,221115,222611,223985,225232,226349,227330,228182,228902,229480
30,Veracruz de Ignacio de la Llave,30175,Tihuatlán,M30.06,Poza Rica,96693,97744,98621,99455,100234,100967,101652,102282,102857,103365,103817,104200,104511,104748,104910,104987
