CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
11,Guanajuato,11015,Guanajuato,M11.02,Guanajuato,187214,189690,191933,194067,196104,198035,199866,201601,203231,204758,206181,207497,208712,209814,210805,211680
11,Guanajuato,11020,León,M11.03,León,1584942,1607326,1627314,1645986,1663404,1679610,1694594,1708292,1720754,1731927,1741812,1750402,1757679,1763613,1768168,1771347
11,Guanajuato,11037,Silao de la Victoria,M11.03,León,188216,191187,193889,196430,198812,201020,203050,204898,206541,207977,209193,210180,210932,211437,211683,211660
11,Guanajuato,11021,Moroleón,M11.04,Moroleón-Uriangato,52606,52913,53231,53575,53960,54378,54835,55341,55888,56484,57125,57818,58569,59370,60237,61161
11,Guanajuato,11041,Uriangato,M11.04,Moroleón-Uriangato,64091,64748,65367,65975,66580,67184,67785,68386,68991,69593,70199,70809,71420,72042,72669,73303
11,Guanajuato,11025,Purísima del Rincón,M11.05,San Francisco del Rincón,77981,79902,81643,83245,84709,86012,87157,88130,88929,89540,89953,90163,90149,89913,89445,88712
11,Guanajuato,11031,San Francisco del Rincón,M11.05,San Francisco del Rincón,121671,122635,123492,124314,125119,125904,126678,127444,128206,128969,129737,130514,131313,132131,132983,133862
12,Guerrero,12001,Acapulco de Juárez,M12.01,Acapulco,823760,828189,831652,834889,837914,840795,843490,846121,848647,851123,853612,856140,858654,861243,863901,866622
12,Guerrero,12021,Coyuca de Benítez,M12.01,Acapulco,77608,77941,78204,78456,78698,78931,79158,79380,79605,79824,80052,80281,80512,80758,81006,81264
12,Guerrero,12029,Chilpancingo de los Bravo,M12.02,Chilpancingo,268720,272673,276130,279228,281967,284330,286309,287883,289043,289766,290033,289839,289156,287970,286253,283989
12,Guerrero,12075,Eduardo Neri,M12.02,Chilpancingo,50382,51005,51557,52061,52519,52924,53278,53576,53813,53986,54097,54134,54099,53985,53793,53514
13,Hidalgo,13022,Epazoyucan,M13.01,Pachuca,14899,15148,15381,15612,15830,16053,16271,16468,16663,16850,17031,17202,17366,17522,17663,17797
13,Hidalgo,13039,Mineral del Monte,M13.01,Pachuca,14868,15033,15202,15377,15557,15737,15921,16104,16301,16494,16693,16897,17101,17307,17514,17727
13,Hidalgo,13048,Pachuca de Soto,M13.01,Pachuca,274475,275616,276670,277775,278974,280312,281814,283561,285612,287937,290580,293643,297150,301149,305656,310735
13,Hidalgo,13051,Mineral de la Reforma,M13.01,Pachuca,157465,163969,170106,175837,181119,185907,190169,193848,196911,199307,200994,201933,202072,201363,199748,197181
13,Hidalgo,13052,San Agustín Tlaxiaca,M13.01,Pachuca,35820,36557,37260,37930,38570,39180,39755,40292,40786,41243,41654,42015,42325,42584,42790,42936
13,Hidalgo,13082,Zapotlán de Juárez,M13.01,Pachuca,19421,19630,19830,20023,20215,20402,20594,20779,20970,21161,21356,21557,21764,21974,22193,22420
13,Hidalgo,13083,Zempoala,M13.01,Pachuca,44474,45810,47091,48316,49467,50540,51535,52435,53237,53934,54516,54971,55297,55481,55519,55394
13,Hidalgo,13010,Atitalaquia,M13.02,Tula,30090,30544,30992,31419,31829,32226,32608,32977,33329,33667,33985,34293,34586,34861,35124,35366
13,Hidalgo,13013,Atotonilco de Tula,M13.02,Tula,37280,38110,38904,39656,40374,41039,41658,42228,42744,43204,43600,43931,44191,44381,44492,44523
13,Hidalgo,13070,Tlahuelilpan,M13.02,Tula,19307,19616,19916,20203,20476,20742,20992,21235,21458,21673,21874,22058,22232,22387,22531,22656
